Denomination_ID,Denomination_Name,Mode,ToleranceScore,Theol_Cons_Lib_avg,Social_Cons_Lib_avg,Counter_Pro_Modern_avg,Super_Nat_avg,Cult_Sep_Eng_avg,Cleric_Egal_avg,Div_Hum_Agency_avg,Commun_Indiv_avg,Liturg_Spont_avg,Sacram_Funct_avg,Literal_Crit_avg,Intellect_Exper_avg
DENOM_131,Mennonites,quick,33.978,37.891,65.008,46.311,56.224,34.39,75.65,56.341,69.723,74.363,81.57,31.321,51.256
DENOM_131,Mennonites,standard,35.274,37.531,65.008,45.841,55.966,34.39,75.65,55.969,69.723,74.363,81.57,31.297,51.256
DENOM_131,Mennonites,deep,35.274,37.531,65.008,45.841,55.966,34.39,75.65,55.969,69.723,74.363,81.57,31.297,51.256
DENOM_144,Southern Baptist Convention (SBC),quick,31.002,22.196,13.78,40.266,40.911,25.12,74.999,36.436,82.13,68.575,79.483,18.752,34.658
DENOM_144,Southern Baptist Convention (SBC),standard,32.477,22.057,13.78,39.813,40.68,25.12,74.999,36.225,82.13,68.575,79.483,19.042,34.658
DENOM_144,Southern Baptist Convention (SBC),deep,32.477,22.057,13.78,39.813,40.68,25.12,74.999,36.225,82.13,68.575,79.483,19.042,34.658
DENOM_148,Independent Fundamental Baptists (IFB),quick,11.793,18.18,1.392,34.576,43.948,7.86,70.701,40.365,83.108,61.769,80.825,16.156,28.097
DENOM_148,Independent Fundamental Baptists (IFB),standard,12.919,18.204,1.392,34.391,43.963,7.86,70.701,40.717,83.108,61.769,80.825,16.33,28.097
DENOM_148,Independent Fundamental Baptists (IFB),deep,12.919,18.204,1.392,34.391,43.963,7.86,70.701,40.717,83.108,61.769,80.825,16.33,28.097
DENOM_153,United Methodist Church (UMC),quick,60.943,39.638,80.642,49.397,48.193,84.594,71.476,28.74,55.074,45.741,67.796,50.772,33.372
DENOM_153,United Methodist Church (UMC),standard,61.466,39.061,80.642,48.581,48.083,84.594,71.476,30.659,55.074,45.741,67.796,50.184,33.372
DENOM_153,United Methodist Church (UMC),deep,61.466,39.061,80.642,48.581,48.083,84.594,71.476,30.659,55.074,45.741,67.796,50.184,33.372
DENOM_167,Assemblies of God (World Fellowship),quick,33.034,27.814,37.04,42.2,32.082,28.549,86.03,36.365,83.192,84.913,79.229,17.6,46.043
DENOM_167,Assemblies of God (World Fellowship),standard,33.263,27.614,37.04,41.663,32.437,28.549,86.03,37.307,83.192,84.913,79.229,17.9,46.043
DENOM_167,Assemblies of God (World Fellowship),deep,33.263,27.614,37.04,41.663,32.437,28.549,86.03,37.307,83.192,84.913,79.229,17.9,46.043
DENOM_176,Zion Christian Church (ZCC),quick,31.481,38.118,23.483,45.279,22.468,28.477,39.558,42.353,46.017,60.794,41.768,18.353,56.936
DENOM_176,Zion Christian Church (ZCC),standard,31.595,37.805,23.483,44.871,22.893,28.477,39.558,42.736,46.017,60.794,41.768,18.549,56.936
DENOM_176,Zion Christian Church (ZCC),deep,31.595,37.805,23.483,44.871,22.893,28.477,39.558,42.736,46.017,60.794,41.768,18.549,56.936
DENOM_195,Iglesia ni Cristo (Church of Christ),quick,11.547,33.368,5.046,43.342,53.97,12.302,30.525,50.519,53.366,34.531,57.767,23.743,22.797
DENOM_195,Iglesia ni Cristo (Church of Christ),standard,11.795,33.144,5.046,42.98,53.811,12.302,30.525,50.495,53.366,34.531,57.767,23.841,22.797
DENOM_195,Iglesia ni Cristo (Church of Christ),deep,11.795,33.144,5.046,42.98,53.811,12.302,30.525,50.495,53.366,34.531,57.767,23.841,22.797
DENOM_180,Churches of Christ (A Cappella),quick,18.591,25.507,13.473,36.016,48.445,19.741,50.543,44.574,62.025,39.077,53.281,22.011,27.578
DENOM_180,Churches of Christ (A Cappella),standard,18.781,25.308,13.473,35.478,48.313,19.741,50.543,45.09,62.025,39.077,53.281,22.285,27.578
DENOM_180,Churches of Christ (A Cappella),deep,18.781,25.308,13.473,35.478,48.313,19.741,50.543,45.09,62.025,39.077,53.281,22.285,27.578
DENOM_184,The Church of Jesus Christ of Latter-day Saints (LDS),quick,37.073,52.836,38.818,57.598,39.034,33.203,27.886,68.069,49.098,39.729,45.279,35.447,52.255
DENOM_184,The Church of Jesus Christ of Latter-day Saints (LDS),standard,37.321,51.802,38.818,56.487,39.241,33.203,27.886,66.568,49.098,39.729,45.279,35.283,52.255
DENOM_184,The Church of Jesus Christ of Latter-day Saints (LDS),deep,37.321,51.802,38.818,56.487,39.241,33.203,27.886,66.568,49.098,39.729,45.279,35.283,52.255
DENOM_190,Jehovah's Witnesses,quick,10.358,38.594,24.789,49.161,60.722,17.604,35.874,63.407,62.155,40.299,71.798,30.882,31.803
DENOM_190,Jehovah's Witnesses,standard,10.722,37.956,24.789,48.254,60.158,17.604,35.874,62.124,62.155,40.299,71.798,30.854,31.803
DENOM_190,Jehovah's Witnesses,deep,10.722,37.956,24.789,48.254,60.158,17.604,35.874,62.124,62.155,40.299,71.798,30.854,31.803
